timestamp,event_type,details
2026-08-01 20:13:27,START,アプリケーションが起動しました
2026-08-01 20:13:36,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-01 20:13:39,START,アプリケーションが起動しました
2026-08-01 20:13:41,SHUTDOWN,ウィンドウの×ボタンにより正常終了しました
2026-08-01 20:13:43,START,アプリケーションが起動しました
2026-08-01 20:13:46,SHUTDOWN,ウィンドウの×ボタンにより正常終了しました
2026-08-01 20:13:49,START,アプリケーションが起動しました
2026-08-01 20:13:51,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-01 20:13:59,START,アプリケーションが起動しました
2026-08-01 20:14:28,SHUTDOWN,ウィンドウの×ボタンにより正常終了しました
2026-08-01 20:21:33,START,アプリケーションが起動しました
2026-08-01 20:21:42,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-01 20:36:58,START,アプリケーションが起動しました
2026-08-01 20:37:14,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-02 01:07:37,START,アプリケーションが起動しました
2026-08-02 01:09:10,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-02 01:09:34,START,アプリケーションが起動しました
2026-08-02 01:10:01,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 14:20:30,START,アプリケーションが起動しました
2026-08-03 14:30:21,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:09:02,START,アプリケーションが起動しました
2026-08-03 15:09:12,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:10:18,START,アプリケーションが起動しました
2026-08-03 15:10:42,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:13:01,START,アプリケーションが起動しました
2026-08-03 15:16:02,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:16:02,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:16:16,START,アプリケーションが起動しました
2026-08-03 15:16:27,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:16:28,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:17:51,START,アプリケーションが起動しました
2026-08-03 15:18:07,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:18:07,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:21:52,START,アプリケーションが起動しました
2026-08-03 15:22:23,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:22:23,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:23:25,START,アプリケーションが起動しました
2026-08-03 15:24:16,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:24:16,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:25:16,START,アプリケーションが起動しました
2026-08-03 15:25:57,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:25:57,SHUTDOWN,アプリケーションが正常に終了しました
2026-08-03 15:26:24,START,アプリケーションが起動しました
2026-08-03 15:26:31,SHUTDOWN,管理者画面から終了されました
2026-08-03 15:26:31,SHUTDOWN,アプリケーションが正常に終了しました
